input,catcode
http://www.89.com,PORN
http://www.amateurpages.com,PORN
http://www.famouspornstars.com,PORN
http://www.femalestars.com,PORN
http://www.fuckingfreemovies.com,PORN
http://www.gotgayporn.com,PORN
http://www.hereistheporn.com,PORN
http://www.lesbiansubmission.com,PORN
http://www.livejasmin.com,PORN
http://www.naughty.com,PORN
http://www.penisbot.com,PORN
http://www.persiankitty.com,PORN
http://www.playboy.com,PORN
http://www.purextc.com,PORN
http://www.sex.com,PORN
http://www.worldsex.com,PORN
http://www.youngerbabes.com,PORN
http://xvideos.com,PORN
http://youporn.com,PORN
http://youjizz.com,PORN
http://rockettube.com,PORN
http://conan.xxx,PORN
http://hustler.com,PORN
http://www.crazyshit.com,PORN
http://www.hustler.com,PORN
http://www.wetplace.com,PORN
http://alt.com,PORN
http://beeg.com,PORN
http://realdoll.com,PORN
http://www.ashemaletube.com,PORN
http://www.babylon-x.com,PORN
http://www.penthouse.com,PORN
http://xhamster.com,PORN
http://www.youporn.com/,PORN
http://www.purenudism.net,PROV
http://www.3wishes.com,PROV
http://www.altpenis.com,PUBH
http://www.implantinfo.com,PUBH
http://www.no-porn.com,PUBH
http://atheism.about.com/od/prophetmuhammadofislam/ig/Muhammad-Drawings-Pictures/,REL
http://dreamdogsart.typepad.com/art/2010/05/lars-vilks-muhammad-cartoon-dog-artist-attacked.html,REL
http://en.wikipedia.org/wiki/File:Jyllands-Posten-pg3-article-in-Sept-30-2005-edition-of-KulturWeekend-entitled-Muhammeds-ansigt.png,REL
http://en.wikipedia.org/wiki/Everybody_Draw_Mohammed_Day,REL
http://en.wikipedia.org/wiki/gabriel,REL
http://en.wikipedia.org/wiki/Jyllands-Posten_Muhammad_cartoons_controversy,REL
http://en.wikipedia.org/wiki/Lars_Vilks_Muhammad_drawings_controversy,REL
http://en.wikipedia.org/wiki/Muhammad,REL
http://en.wikipedia.org/wiki/Mohammad,REL
http://europenews.dk/en/node/32286,REL
http://friendlyatheist.com/2010/05/20/draw-muhammad-day-a-compilation/,REL
http://islam-watch.org,REL
http://twitter.com/ProphetMuhammad,REL
http://www.abovetopsecret.com/forum/thread564561/pg1,REL
http://everybodydrawmohammedday.wordpress.com,REL
http://face-of-muhammed.blogspot.com,REL
http://islamizationwatch.blogspot.com/2010/04/everybody-draw-mohammed-day-grows-in.html,REL
http://www.bibleprobe.com/muhammad-cartoons.htm,REL
http://www.buzzfeed.com/robertlangdon/the-prophet-muhammad-in-a-bear-suit-express-you,REL
http://www.cagle.com/news/muhammad/,REL
http://www.islam-watch.org,REL
http://www.sodahead.com/united-states/seattle-cartoonist-launches-everybody-draw-mohammed-day-you-in/question-984209/,REL
http://www.youtube.com/watch?v=0T9UhBhTl9Q&feature=related,REL
http://www.youtube.com/watch?v=1Wu5e50zrPA&feature=fvst,REL
http://www.youtube.com/watch?v=2L2ouAN770U&feature=related,REL
http://www.youtube.com/watch?v=3sD-1-1sbik,REL
http://www.youtube.com/watch?v=43LMQXYhyt0&feature=related,REL
http://www.youtube.com/watch?v=a4yfG5dAZdU,REL
http://www.youtube.com/watch?v=AMRaxkgCUfI&feature=related,REL
http://www.youtube.com/watch?v=hKJtedW9KN4&feature=related,REL
http://www.youtube.com/watch?v=KlYLKf4q2rg,REL
http://www.youtube.com/watch?v=LyKdYTzMqWo&feature=related,REL
http://www.youtube.com/watch?v=nycuLpw0VV8&feature=related,REL
http://www.youtube.com/watch?v=OMz0aIM2_sM,REL
http://www.youtube.com/watch?v=pDrti5T93T8,REL
http://www.youtube.com/watch?v=s5rPSTLy394&NR=1,REL
http://www.youtube.com/watch?v=s5rPSTLy394&feature=related?http://www.xroxy.com/,REL
http://www.youtube.com/watch?v=XJMlgmwHN9E,REL
http://www.youtube.com/watch?v=z7ok4njJXI8,REL
http://www.youtube.com/watch?v=Zsv1SToU1xo&feature=related,REL
http://www.zimbio.com/War+on+Terrorism/articles/6NAIGjWobep/WASHINGTON+POST+Seattle+cartoonist+Molly+Norris,REL
http://www.zombietime.com/mohammed_image_archive/,REL
https://barenakedislam.wordpress.com/2010/05/02/muslim-hackers-get-their-filthy-finger-licken-hands-on-kfc-website/,REL
http://www.prophetofdoom.net,REL
http://www.drawmohammed.com,REL
http://twitter.com/MuhammadtheProp,REL
http://www.jihadwatch.org,REL
http://www.sexualhealth.com,XED
http://www.itsyoursexlife.com,XED
http://www.scarleteen.com,XED
